basin,year,total_glacier_runoff_m3,mean_runoff_mm,glacier_count,total_glacier_area_km2,basin_runoff_mm
Himalayas,2000,5372484003.168742,91.45907120834913,22818,58741.94797943999,0.09145907120834913
Himalayas,2001,20062787839.262928,341.54107123388246,22818,58741.94797943999,0.34154107123388244
Himalayas,2002,14195511434.978876,241.65884726783975,22818,58741.94797943999,0.24165884726783976
Himalayas,2003,27650547904.159958,470.7121376675796,22818,58741.94797943999,0.47071213766757963
Himalayas,2004,31832840678.997635,541.9098578436539,22818,58741.94797943999,0.5419098578436539
Himalayas,2005,6588746162.601942,112.1642435982552,22818,58741.94797943999,0.1121642435982552
Himalayas,2006,53255607285.36828,906.6026769151074,22818,58741.94797943999,0.9066026769151074
Himalayas,2007,19017350339.6651,323.7439511934688,22818,58741.94797943999,0.32374395119346877
Himalayas,2008,24487892186.047165,416.8723208603512,22818,58741.94797943999,0.4168723208603512
Himalayas,2009,10964703215.373856,186.65882886981487,22818,58741.94797943999,0.18665882886981486
Himalayas,2010,8376372286.434623,142.59609315929396,22818,58741.94797943999,0.14259609315929395
Himalayas,2011,1849420371.6383905,31.483810722206524,22818,58741.94797943999,0.031483810722206525
Himalayas,2012,23728497131.29643,403.94467578095197,22818,58741.94797943999,0.4039446757809519
Himalayas,2013,8597720958.12164,146.3642465709665,22818,58741.94797943999,0.14636424657096647
Himalayas,2014,15056639743.557953,256.31835956185625,22818,58741.94797943999,0.2563183595618562
Himalayas,2015,12517251539.130747,213.0888056948989,22818,58741.94797943999,0.2130888056948989
Himalayas,2016,10778864025.279123,183.49517501618755,22818,58741.94797943999,0.1834951750161875
Himalayas,2017,20122627797.118565,342.5597633255472,22818,58741.94797943999,0.34255976332554716
Himalayas,2018,24529263685.422127,417.5766131216402,22818,58741.94797943999,0.41757661312164024
Himalayas,2019,16428636143.354961,279.6746908887849,22818,58741.94797943999,0.2796746908887849
Himalayas,2020,11036863957.721603,187.8872651888318,22818,58741.94797943999,0.1878872651888318
Himalayas,2021,16096446724.234024,274.01962784529843,22818,58741.94797943999,0.27401962784529843
Himalayas,2022,56508286075.69592,961.9750113747359,22818,58741.94797943999,0.9619750113747358
Himalayas,2023,28131968878.962082,478.9076604815426,22818,58741.94797943999,0.4789076604815426
Himalayas,2024,47815014491.429855,813.9841482302456,22818,58741.94797943999,0.8139841482302456
